word, freq
香熏,3
康健,3
那晴雯,3
柳枝,3
高枝儿,3
那家子,3
白操,3
木樨,3
清虚观,3
通今博古,3
玉官,3
那琪官,3
盛怒,3
阴司里,3
闻得王,3
贾母扶,3
方进,3
苍苔,3
凤儿,3
闻得宝玉,3
薛姨娘,3
花笺,3
翠墨道,3
忆菊,3
花梨,3
李义山,3
那妙玉,3
公子哥儿,3
那珍,3
黛玉叹,3
伏侍黛,3
克扣,3
向探春,3
贾蓉方,3
玉探春,3
何干,3
关夫子,3
小哥儿,3
杨树,3
闻声,3
钱启,3
比一比,3
宫朝贺,3
贾敬贾,3
吉祥,3
娄氏,3
甄府里,3
延寿,3
李妈妈,3
查清,3
巴巴儿,3
官蕊官,3
柳五儿,3
柳氏,3
香梦,3
燕四儿,3
汉玉,3
伯母,3
平儿正,3
尤氏心,3
国孝家,3
伏侍凤,3
汤水,3
宝剑,3
费婆子,3
和珍儿,3
那小太监,3
小鹊,3
孟子,3
查一查,3
仁德,3
兰小子,3
那司棋,3
荆棘,3
从宽,3
小舍儿,3
宾客,3
贾存,3
贾母明,3
却尘缘,3
延世泽,3
满屋子,3
潘三保,3
贾政贾,3
黎明,3
单留,3
张大老爷,3
候信,3
周贵妃,3
巴结,3
金石,3
王大爷,3
那雪雁,3
那金桂,3
那小子,3
贾政才,3
明贾政,3
张老爷,3
老太爷,3
宝二,3
那绢子,3
贾政一一,3
裘世安,3
贾范,3
白虎,3
吴贵,3
凤姐惜,3
王仁便,3
王仁道,3
元帝,3
和巧姐,3
贾夫人,2
宁府宝玉,2
金莺微,2
凤贾瑞,2
贾天祥,2
秦可卿,2
管姊弟,2
玉生香,2
曲文宝玉,2
曲警芳,2
尚义,2
通灵遇,2
言传,2
香冢飞,2
伏白首,2
白玉钏,2
金鸳鸯,2
兰言解,2
子雅谑,2
金庆寿,2
金兰契,2
郎君,2
慕雅女,2
白雪红梅,2
香娃,2
薛小妹,2
胡庸医,2
陈腐,2
刁奴,2
小惠全,2
爱语慰,2
阴假凤,2
云轩里,2
寿怡红,2
金丹独,2
贾二舍,2
尤二姨,2
冷二郎,2
尤娘,2
史湘云偶,2
薛文龙,2
王道士,2
云云,2
昌明,2
大贤,2
莫如,2
潘安,2
文君,2
小玉,2
宝鉴,2
仁清巷,2
封氏,2
永昼,2
贾名化,2
胡州,2
白银,2
霍启,2
岳丈,2
薄田,2
老僧,2
子兴笑,2
轩峻,2
安富尊荣,2
贾代化,2
侯家,2
王氏,2
子兴,2
若大,2
安禄山,2
灵秀,2
温飞卿,2
唐伯虎,2
崔莺,2
王侯,2
王氏之,2
张如圭,2
岳母,2
石狮子,2
贾政之,2
金百蝶,2
丹凤,2
凤辣子,2
黛玉正,2
熙凤道,2
鹿顶,2
贾源,2
古铜鼎,2
贾珠之,2
惜福,2
龙抢珠,2
秋波,2
问黛玉,2
李守中,2
加官进禄,2
龙王,2
丰年,2
任京营,2
薛蟠素,2
荣府内,2
尤氏乃,2
秦太虚,2
武则天,2
盘内盛,2
师傅,2
山后,2
云散,2
王嫱,2
布散,2
大书云,2
雪里,2
绮罗,2
才华,2
蒲柳,2
禄高登,2
痴儿,2
姓甚名谁,2
贾二,2
天未明,2
凤哥,2
金钟,2
小盖钟,2
连影儿,2
老远,2
白露,2
惜三人,2
斯斯文文,2
普天下,2
秦钟一一,2
侯门公,2
丹墀,2
寿恒昌,2
林姐儿,2
都还没,2
白陪,2
花朵儿,2
玉爱,2
秦钟趁,2
金荣笑,2
贾瑞前,2
贾兰贾,2
胡同,2
贾蓉一一,2
贾珍遂,2
依小弟,2
关沉伏,2
木旺,2
过会芳,2
何光景,2
贾瑞见,2
贾瑞如,2
贾蓉先,2
玉竹,2
王孙,2
赫赫扬扬,2
保永全,2
言少叙,2
贾珩,2
贾琛,2
贾萍,2
贾芝,2
尤氏姊妹,2
于会芳,2
大明宫,2
内廷紫,2
司正堂,2
敬谨,2
独凤姐,2
凤姐方,2
王兴家,2
邢二夫人,2
孙现袭,2
神武,2
路祭,2
王爵,2
明星,2
王二夫人,2
智善,2
胡老爷,2
云老爷,2
宫都太监,2
侍贾母,2
薛大,2
马棚,2
贾琏凤,2
惠泉酒,2
太祖,2
贾蔷笑,2
拉凤姐,2
山子野,2
萧然,2
邱壑,2
石洞,2
田舍,2
颜其额,2
金兰,2
万寿,2
宝相,2
林姑娘房,2
妙玉本,2
柳垂金,2
贾政闻,2
盛世,2
何幸,2
绿玉,2
生子儿,2
林子,2
伯叔,2
水秀,2
贾琏越,2
薛大妹妹,2
白吃,2
玉见宝玉,2
惠能,2
莫向,2
莫道,2
周氏,2
贾政原,2
刁钻,2
水亭,2
贾母安,2
王奶奶,2
贾芸忙,2
连正眼,2
松树,2
宝叔房,2
罗帕,2
龙吟,2
